id,estado,municipio,cod_inegi_municipio,localidad,cod_inegi_localidad
108,BAJA CALIFORNIA,ENSENADA,002001,,
109,BAJA CALIFORNIA,ENSENADA,002001,,
110,BAJA CALIFORNIA,ENSENADA,002001,,
111,BAJA CALIFORNIA,ENSENADA,002001,,
112,BAJA CALIFORNIA,ENSENADA,002001,,
113,BAJA CALIFORNIA,ENSENADA,002001,,
114,BAJA CALIFORNIA,ENSENADA,002001,,
115,BAJA CALIFORNIA,ENSENADA,002001,,
116,BAJA CALIFORNIA,ENSENADA,002001,,
117,BAJA CALIFORNIA,ENSENADA,002001,,
118,BAJA CALIFORNIA,ENSENADA,002001,,
119,BAJA CALIFORNIA,ENSENADA,002001,,
120,BAJA CALIFORNIA,ENSENADA,002001,,
121,BAJA CALIFORNIA,ENSENADA,002001,,
122,BAJA CALIFORNIA,ENSENADA,002001,,
123,BAJA CALIFORNIA,ENSENADA,002001,,
124,BAJA CALIFORNIA,ENSENADA,002001,,
125,BAJA CALIFORNIA,ENSENADA,002001,,
126,BAJA CALIFORNIA,ENSENADA,002001,,
127,BAJA CALIFORNIA,ENSENADA,002001,,
128,BAJA CALIFORNIA,ENSENADA,002001,,
129,BAJA CALIFORNIA,ENSENADA,002001,,
130,BAJA CALIFORNIA,ENSENADA,002001,,
131,BAJA CALIFORNIA,ENSENADA,002001,,
132,BAJA CALIFORNIA,ENSENADA,002001,,
133,BAJA CALIFORNIA,ENSENADA,002001,,
134,BAJA CALIFORNIA,ENSENADA,002001,,
135,BAJA CALIFORNIA,ENSENADA,002001,,
136,BAJA CALIFORNIA,ENSENADA,002001,,
137,BAJA CALIFORNIA,ENSENADA,002001,,
138,BAJA CALIFORNIA,ENSENADA,002001,,
139,BAJA CALIFORNIA,ENSENADA,002001,,
140,BAJA CALIFORNIA,ENSENADA,002001,,
141,BAJA CALIFORNIA,ENSENADA,002001,,
142,BAJA CALIFORNIA,ENSENADA,002001,,
143,BAJA CALIFORNIA,ENSENADA,002001,,
144,BAJA CALIFORNIA,ENSENADA,002001,,
145,BAJA CALIFORNIA,ENSENADA,002001,,
146,BAJA CALIFORNIA,ENSENADA,002001,,
147,BAJA CALIFORNIA,ENSENADA,002001,,
148,BAJA CALIFORNIA,ENSENADA,002001,,
149,BAJA CALIFORNIA,ENSENADA,002001,,
150,BAJA CALIFORNIA,ENSENADA,002001,,
151,BAJA CALIFORNIA,ENSENADA,002001,,
152,BAJA CALIFORNIA,ENSENADA,002001,,
153,BAJA CALIFORNIA,ENSENADA,002001,,
154,BAJA CALIFORNIA,ENSENADA,002001,,
155,BAJA CALIFORNIA,ENSENADA,002001,,
156,BAJA CALIFORNIA,ENSENADA,002001,,
157,BAJA CALIFORNIA,ENSENADA,002001,,
158,BAJA CALIFORNIA,ENSENADA,002001,,
159,BAJA CALIFORNIA,ENSENADA,002001,,
160,BAJA CALIFORNIA,ENSENADA,002001,,
161,BAJA CALIFORNIA,ENSENADA,002001,,
162,BAJA CALIFORNIA,ENSENADA,002001,,
163,BAJA CALIFORNIA,ENSENADA,002001,,
164,BAJA CALIFORNIA,ENSENADA,002001,,
165,BAJA CALIFORNIA,ENSENADA,002001,,
166,BAJA CALIFORNIA,ENSENADA,002001,,
167,BAJA CALIFORNIA,ENSENADA,002001,,
168,BAJA CALIFORNIA,ENSENADA,002001,,
169,BAJA CALIFORNIA,ENSENADA,002001,,
170,BAJA CALIFORNIA,ENSENADA,002001,,
171,BAJA CALIFORNIA,ENSENADA,002001,,
172,BAJA CALIFORNIA,ENSENADA,002001,,
173,BAJA CALIFORNIA,ENSENADA,002001,,
174,BAJA CALIFORNIA,ENSENADA,002001,,
175,BAJA CALIFORNIA,ENSENADA,002001,,
176,BAJA CALIFORNIA,ENSENADA,002001,,
177,BAJA CALIFORNIA,ENSENADA,002001,,
178,BAJA CALIFORNIA,ENSENADA,002001,,
179,BAJA CALIFORNIA,ENSENADA,002001,,
180,BAJA CALIFORNIA,ENSENADA,002001,,
181,BAJA CALIFORNIA,ENSENADA,002001,,
182,BAJA CALIFORNIA,ENSENADA,002001,,
183,BAJA CALIFORNIA,ENSENADA,002001,,
184,BAJA CALIFORNIA,ENSENADA,002001,,
185,BAJA CALIFORNIA,ENSENADA,002001,,
186,BAJA CALIFORNIA,ENSENADA,002001,,
187,BAJA CALIFORNIA,ENSENADA,002001,,
188,BAJA CALIFORNIA,ENSENADA,002001,,
