estado,municipio,cod_inegi_municipio,localidad,cod_inegi_localidad
BAJA CALIFORNIA,#SIN REGISTRO,,#SIN REGISTRO,
BAJA CALIFORNIA,COMONDU,,SAN JUANICO,
BAJA CALIFORNIA,MANZANILLO,,MANZANILLO,
BAJA CALIFORNIA,MULEGE,,GUERRERO NEGRO,
BAJA CALIFORNIA,MULEGE,,MULEGE,
BAJA CALIFORNIA,NO DISPONIBLE,,NO DISPONIBLE,
BAJA CALIFORNIA,SAN  FELIPE,,,
BAJA CALIFORNIA,SAN  FELIPE,,,
BAJA CALIFORNIA,SAN  FELIPE,,,
BAJA CALIFORNIA,SAN  FELIPE,,,
BAJA CALIFORNIA,SAN FELIPE,,SAN FELIPE,
BAJA CALIFORNIA SUR,#SIN REGISTRO,,#SIN REGISTRO,
BAJA CALIFORNIA SUR,COMONDÚ,,CIUDAD CONSTITUCIÓN,
BAJA CALIFORNIA SUR,COMONDÚ,,"EJIDO SANTO DOMINGO, SIN NOMBRE",
BAJA CALIFORNIA SUR,COMONDÚ,,EL CORRALITO,
BAJA CALIFORNIA SUR,COMONDÚ,,LA PURÍSIMA,
BAJA CALIFORNIA SUR,COMONDÚ,,LAS BARRANCAS,
BAJA CALIFORNIA SUR,COMONDÚ,,PUERTO ADOLFO LÓPEZ MATEOS,
BAJA CALIFORNIA SUR,COMONDÚ,,PUERTO ALCATRAZ (ISLA SANTA MARGARITA),
BAJA CALIFORNIA SUR,COMONDÚ,,PUERTO MAGDALENA (BAHÍA MAGDALENA),
BAJA CALIFORNIA SUR,COMONDÚ,,PUERTO SAN CARLOS,
BAJA CALIFORNIA SUR,COMONDÚ,,RAMADITAS,
BAJA CALIFORNIA SUR,COMONDÚ,,SANTO DOMINGO (VALLE SANTO DOMINGO),
BAJA CALIFORNIA SUR,COMONDÚ,,SANTO DOMINGO VIEJO,
BAJA CALIFORNIA SUR,Centla,,Felipe Carrillo Puerto (Centro),
BAJA CALIFORNIA SUR,Comondú,,Ciudad Constitución,
BAJA CALIFORNIA SUR,Comondú,,Puerto Adolfo López Mateos,
BAJA CALIFORNIA SUR,Comondú,,Puerto San Carlos,
BAJA CALIFORNIA SUR,Comondú,,San Juanico,
BAJA CALIFORNIA SUR,ENSENADA,,ENSENADA,
BAJA CALIFORNIA SUR,MEXICALI,,ENSENADA,
BAJA CALIFORNIA SUR,MEXICALI,,SAN FELIPE,
BAJA CALIFORNIA SUR,MULEGÉ,,LA BOCANA (LA BOCANITA),
BAJA CALIFORNIA SUR,MULEGÉ,,SANTA ROSALÍA,
BAJA CALIFORNIA SUR,Mulegé,,Bahía Tortugas,
BAJA CALIFORNIA SUR,NO DISPONIBLE,,NO DISPONIBLE,
BAJA CALIFORNIA SUR ,COMONDÚ,,BENITO JUÁREZ (BUENAVISTA),
BAJA CALIFORNIA SUR ,COMONDÚ,,CABO SAN LÁZARO (ISLA MAGDALENA),
BAJA CALIFORNIA SUR ,COMONDÚ,,CIUDAD CONSTITUCIÓN,
BAJA CALIFORNIA SUR ,COMONDÚ,,EL CORRALITO,
BAJA CALIFORNIA SUR ,COMONDÚ,,EL PORVENIR,
BAJA CALIFORNIA SUR ,COMONDÚ,,EL VOLCÁN (ISLA MAGDALENA),
BAJA CALIFORNIA SUR ,COMONDÚ,,LA VIRGENCITA (ISLA MAGDALENA),
BAJA CALIFORNIA SUR ,COMONDÚ,,LAS BARRANCAS,
BAJA CALIFORNIA SUR ,COMONDÚ,,PUERTO ADOLFO LÓPEZ MATEOS,
BAJA CALIFORNIA SUR ,COMONDÚ,,PUERTO MAGDALENA (BAHÍA MAGDALENA),
BAJA CALIFORNIA SUR ,COMONDÚ,,PUERTO SAN CARLOS,
BAJA CALIFORNIA SUR ,COMONDÚ,,"PUNTA ARENAS (ISLA MAGDALENA, PUERTO CARGUERO)",
BAJA CALIFORNIA SUR ,COMONDÚ,,SAN JUANICO,
BAJA CALIFORNIA SUR ,COMONDÚ,,SAN MARTÍN,
BAJA CALIFORNIA SUR ,COMONDÚ,,SANTA MARÍA (ISLA MAGDALENA),
BAJA CALIFORNIA SUR ,COMONDÚ,,SANTO DOMINGO (VALLE SANTO DOMINGO),
BAJA CALIFORNIA SUR ,LA PAZ,,AGUA AMARGA,
BAJA CALIFORNIA SUR ,LA PAZ,,AGUA BLANCA,
BAJA CALIFORNIA SUR ,LA PAZ,,AGUA NUEVA,
BAJA CALIFORNIA SUR ,LA PAZ,,EL CENTENARIO,
BAJA CALIFORNIA SUR ,LA PAZ,,EL PESCADERO,
BAJA CALIFORNIA SUR ,LA PAZ,,EL SARGENTO,
BAJA CALIFORNIA SUR ,LA PAZ,,LA PAZ,
BAJA CALIFORNIA SUR ,LA PAZ,,LOS BARRILES,
BAJA CALIFORNIA SUR ,LA PAZ,,PUERTO CHALE,
BAJA CALIFORNIA SUR ,LA PAZ,,RANCHO SIN NOMBRE,
BAJA CALIFORNIA SUR ,LA PAZ,,SAN JUANITO,
BAJA CALIFORNIA SUR ,LA PAZ,,SANTA RITA,
BAJA CALIFORNIA SUR ,LA PAZ,,TODOS SANTOS,
BAJA CALIFORNIA SUR ,LORETO,,LORETO,
BAJA CALIFORNIA SUR ,LOS CABOS,,LA RIBERA,
BAJA CALIFORNIA SUR ,MULEGÉ,,BAHÍA ASUNCIÓN,
BAJA CALIFORNIA SUR ,MULEGÉ,,BAHÍA TORTUGAS (SAN BARTOLOMÉ),
BAJA CALIFORNIA SUR ,MULEGÉ,,ESTERO DE LA BOCANA,
BAJA CALIFORNIA SUR ,MULEGÉ,,GUERRERO NEGRO,
BAJA CALIFORNIA SUR ,MULEGÉ,,LA BOCANA (LA BOCANITA),
BAJA CALIFORNIA SUR ,MULEGÉ,,NATIVIDAD (ISLA NATIVIDAD),
BAJA CALIFORNIA SUR ,MULEGÉ,,NINGUNO,
BAJA CALIFORNIA SUR ,MULEGÉ,,PUNTA ABREOJOS,
BAJA CALIFORNIA SUR ,MULEGÉ,,SAN HIPÓLITO (BAHÍA SAN HIPÓLITO),
BAJA CALIFORNIA SUR ,MULEGÉ,,SANTA ROSALÍA,
BAJA CALIFORNIA_x000D_ SUR,COMONDU,,BARRANCAS,
BAJA CALIFORNIA_x000D_ SUR,COMONDU,,CADEJE,
BAJA CALIFORNIA_x000D_ SUR,COMONDU,,CIUDAD CONSTITUCION,
BAJA CALIFORNIA_x000D_ SUR,COMONDU,,EL VOLCAN,
BAJA CALIFORNIA_x000D_ SUR,COMONDU,,LA BARRITA (ISLA MAGDALENA),
BAJA CALIFORNIA_x000D_ SUR,COMONDU,,LA POZA GRANDE,
BAJA CALIFORNIA_x000D_ SUR,COMONDU,,LAS BARRANCAS,
