id,Componente,"Año",Estado,Municipio,Localidad,Registradas,Apoyadas,cod_inegi
29,MOTOR,2014,"BAJA CALIFORNIA",ENSENADA,"EJIDO RODOLFO SANCHEZ TABOADA",0,0,
30,EMBARCACION,2014,"BAJA CALIFORNIA",ENSENADA,"EJIDO RODOLFO SANCHEZ TABOADA",1,0,
31,HIELERA,2014,"BAJA CALIFORNIA",ENSENADA,"EJIDO RODOLFO SANCHEZ TABOADA",0,0,
32,SISTEMA,2014,"BAJA CALIFORNIA",ENSENADA,"EJIDO RODOLFO SANCHEZ TABOADA",0,0,
33,MOTOR,2014,"BAJA CALIFORNIA",ENSENADA,"EJIDO RUBEN JARAMILLO",1,0,
34,EMBARCACION,2014,"BAJA CALIFORNIA",ENSENADA,"EJIDO RUBEN JARAMILLO",0,0,
35,HIELERA,2014,"BAJA CALIFORNIA",ENSENADA,"EJIDO RUBEN JARAMILLO",3,0,
36,SISTEMA,2014,"BAJA CALIFORNIA",ENSENADA,"EJIDO RUBEN JARAMILLO",0,0,
37,MOTOR,2014,"BAJA CALIFORNIA",ENSENADA,"EJIDO VILLA JESUS MARIA",2,1,
38,EMBARCACION,2014,"BAJA CALIFORNIA",ENSENADA,"EJIDO VILLA JESUS MARIA",2,0,
39,HIELERA,2014,"BAJA CALIFORNIA",ENSENADA,"EJIDO VILLA JESUS MARIA",0,0,
40,SISTEMA,2014,"BAJA CALIFORNIA",ENSENADA,"EJIDO VILLA JESUS MARIA",0,0,
41,MOTOR,2014,"BAJA CALIFORNIA",ENSENADA,"EL ROSARIO",2,0,
42,EMBARCACION,2014,"BAJA CALIFORNIA",ENSENADA,"EL ROSARIO",0,0,
43,HIELERA,2014,"BAJA CALIFORNIA",ENSENADA,"EL ROSARIO",3,0,
44,SISTEMA,2014,"BAJA CALIFORNIA",ENSENADA,"EL ROSARIO",3,0,
45,MOTOR,2014,"BAJA CALIFORNIA",ENSENADA,"EL ROSARIO DE ARRIBA",0,0,
46,EMBARCACION,2014,"BAJA CALIFORNIA",ENSENADA,"EL ROSARIO DE ARRIBA",0,0,
47,HIELERA,2014,"BAJA CALIFORNIA",ENSENADA,"EL ROSARIO DE ARRIBA",1,0,
48,SISTEMA,2014,"BAJA CALIFORNIA",ENSENADA,"EL ROSARIO DE ARRIBA",1,0,
49,MOTOR,2014,"BAJA CALIFORNIA",ENSENADA,"EL SAUZAL",5,2,
50,EMBARCACION,2014,"BAJA CALIFORNIA",ENSENADA,"EL SAUZAL",1,0,
51,HIELERA,2014,"BAJA CALIFORNIA",ENSENADA,"EL SAUZAL",0,0,
52,SISTEMA,2014,"BAJA CALIFORNIA",ENSENADA,"EL SAUZAL",0,0,
53,MOTOR,2014,"BAJA CALIFORNIA",ENSENADA,ENSENADA,33,14,
54,EMBARCACION,2014,"BAJA CALIFORNIA",ENSENADA,ENSENADA,27,4,
55,HIELERA,2014,"BAJA CALIFORNIA",ENSENADA,ENSENADA,5,2,
56,SISTEMA,2014,"BAJA CALIFORNIA",ENSENADA,ENSENADA,4,0,
57,MOTOR,2014,"BAJA CALIFORNIA",ENSENADA,"FRACCIONAMIENTO LOMA BONITA",1,0,
58,EMBARCACION,2014,"BAJA CALIFORNIA",ENSENADA,"FRACCIONAMIENTO LOMA BONITA",0,0,
59,HIELERA,2014,"BAJA CALIFORNIA",ENSENADA,"FRACCIONAMIENTO LOMA BONITA",0,0,
60,SISTEMA,2014,"BAJA CALIFORNIA",ENSENADA,"FRACCIONAMIENTO LOMA BONITA",0,0,
61,MOTOR,2014,"BAJA CALIFORNIA",ENSENADA,GUAYAQUIL,1,0,
62,EMBARCACION,2014,"BAJA CALIFORNIA",ENSENADA,GUAYAQUIL,0,0,
63,HIELERA,2014,"BAJA CALIFORNIA",ENSENADA,GUAYAQUIL,0,0,
64,SISTEMA,2014,"BAJA CALIFORNIA",ENSENADA,GUAYAQUIL,1,1,
65,MOTOR,2014,"BAJA CALIFORNIA",ENSENADA,"LA MISION",2,1,
66,EMBARCACION,2014,"BAJA CALIFORNIA",ENSENADA,"LA MISION",2,0,
67,HIELERA,2014,"BAJA CALIFORNIA",ENSENADA,"LA MISION",0,0,
68,SISTEMA,2014,"BAJA CALIFORNIA",ENSENADA,"LA MISION",0,0,
69,MOTOR,2014,"BAJA CALIFORNIA",ENSENADA,"LOCALIDAD SIN NOMBRE",1,0,
70,EMBARCACION,2014,"BAJA CALIFORNIA",ENSENADA,"LOCALIDAD SIN NOMBRE",0,0,
71,HIELERA,2014,"BAJA CALIFORNIA",ENSENADA,"LOCALIDAD SIN NOMBRE",0,0,
72,SISTEMA,2014,"BAJA CALIFORNIA",ENSENADA,"LOCALIDAD SIN NOMBRE",0,0,
73,MOTOR,2014,"BAJA CALIFORNIA",ENSENADA,"MOLINO VIEJO",0,0,
74,EMBARCACION,2014,"BAJA CALIFORNIA",ENSENADA,"MOLINO VIEJO",1,1,
75,HIELERA,2014,"BAJA CALIFORNIA",ENSENADA,"MOLINO VIEJO",0,0,
76,SISTEMA,2014,"BAJA CALIFORNIA",ENSENADA,"MOLINO VIEJO",0,0,
77,MOTOR,2014,"BAJA CALIFORNIA",ENSENADA,"RIO ESCONDIDO",1,0,
78,EMBARCACION,2014,"BAJA CALIFORNIA",ENSENADA,"RIO ESCONDIDO",0,0,
79,HIELERA,2014,"BAJA CALIFORNIA",ENSENADA,"RIO ESCONDIDO",0,0,
80,SISTEMA,2014,"BAJA CALIFORNIA",ENSENADA,"RIO ESCONDIDO",0,0,
81,MOTOR,2014,"BAJA CALIFORNIA",ENSENADA,"RODOLFO SANCHEZ T. (MANEADERO)",0,0,
82,EMBARCACION,2014,"BAJA CALIFORNIA",ENSENADA,"RODOLFO SANCHEZ T. (MANEADERO)",1,0,
83,HIELERA,2014,"BAJA CALIFORNIA",ENSENADA,"RODOLFO SANCHEZ T. (MANEADERO)",0,0,
84,SISTEMA,2014,"BAJA CALIFORNIA",ENSENADA,"RODOLFO SANCHEZ T. (MANEADERO)",0,0,
85,MOTOR,2014,"BAJA CALIFORNIA",ENSENADA,"SAN QUINTIN",2,0,
86,EMBARCACION,2014,"BAJA CALIFORNIA",ENSENADA,"SAN QUINTIN",2,1,
87,HIELERA,2014,"BAJA CALIFORNIA",ENSENADA,"SAN QUINTIN",0,0,
88,SISTEMA,2014,"BAJA CALIFORNIA",ENSENADA,"SAN QUINTIN",0,0,
89,MOTOR,2014,"BAJA CALIFORNIA",ENSENADA,"SANTA ROSALIITA",1,0,
90,EMBARCACION,2014,"BAJA CALIFORNIA",ENSENADA,"SANTA ROSALIITA",8,0,
91,HIELERA,2014,"BAJA CALIFORNIA",ENSENADA,"SANTA ROSALIITA",0,0,
92,SISTEMA,2014,"BAJA CALIFORNIA",ENSENADA,"SANTA ROSALIITA",0,0,
93,MOTOR,2014,"BAJA CALIFORNIA",ENSENADA,URUAPAN,0,0,
94,EMBARCACION,2014,"BAJA CALIFORNIA",ENSENADA,URUAPAN,6,2,
95,HIELERA,2014,"BAJA CALIFORNIA",ENSENADA,URUAPAN,0,0,
96,SISTEMA,2014,"BAJA CALIFORNIA",ENSENADA,URUAPAN,0,0,
97,MOTOR,2014,"BAJA CALIFORNIA",ENSENADA,"VICENTE GUERRERO",1,0,
98,EMBARCACION,2014,"BAJA CALIFORNIA",ENSENADA,"VICENTE GUERRERO",1,0,
99,HIELERA,2014,"BAJA CALIFORNIA",ENSENADA,"VICENTE GUERRERO",0,0,
100,SISTEMA,2014,"BAJA CALIFORNIA",ENSENADA,"VICENTE GUERRERO",0,0,
101,MOTOR,2014,"BAJA CALIFORNIA",MEXICALI,"CIUDAD COAHUILA (KM. 57)",6,6,
102,EMBARCACION,2014,"BAJA CALIFORNIA",MEXICALI,"CIUDAD COAHUILA (KM. 57)",0,0,
103,HIELERA,2014,"BAJA CALIFORNIA",MEXICALI,"CIUDAD COAHUILA (KM. 57)",0,0,
104,SISTEMA,2014,"BAJA CALIFORNIA",MEXICALI,"CIUDAD COAHUILA (KM. 57)",0,0,
105,MOTOR,2014,"BAJA CALIFORNIA",MEXICALI,"COLONIA LEONA VICARIO",2,1,
106,EMBARCACION,2014,"BAJA CALIFORNIA",MEXICALI,"COLONIA LEONA VICARIO",0,0,
107,HIELERA,2014,"BAJA CALIFORNIA",MEXICALI,"COLONIA LEONA VICARIO",0,0,
108,SISTEMA,2014,"BAJA CALIFORNIA",MEXICALI,"COLONIA LEONA VICARIO",0,0,
109,MOTOR,2014,"BAJA CALIFORNIA",MEXICALI,"COLONIA NUEVA",1,1,
110,EMBARCACION,2014,"BAJA CALIFORNIA",MEXICALI,"COLONIA NUEVA",5,5,
111,HIELERA,2014,"BAJA CALIFORNIA",MEXICALI,"COLONIA NUEVA",0,0,
112,SISTEMA,2014,"BAJA CALIFORNIA",MEXICALI,"COLONIA NUEVA",0,0,
113,MOTOR,2014,"BAJA CALIFORNIA",MEXICALI,"COMUNIDAD INDIGENA CUCAPAH EL MAYOR",16,11,
114,EMBARCACION,2014,"BAJA CALIFORNIA",MEXICALI,"COMUNIDAD INDIGENA CUCAPAH EL MAYOR",0,0,
115,HIELERA,2014,"BAJA CALIFORNIA",MEXICALI,"COMUNIDAD INDIGENA CUCAPAH EL MAYOR",0,0,
116,SISTEMA,2014,"BAJA CALIFORNIA",MEXICALI,"COMUNIDAD INDIGENA CUCAPAH EL MAYOR",0,0,
117,MOTOR,2014,"BAJA CALIFORNIA",MEXICALI,,10,6,
118,EMBARCACION,2014,"BAJA CALIFORNIA",MEXICALI,,0,0,
119,HIELERA,2014,"BAJA CALIFORNIA",MEXICALI,,0,0,
120,SISTEMA,2014,"BAJA CALIFORNIA",MEXICALI,,0,0,
121,MOTOR,2014,"BAJA CALIFORNIA",MEXICALI,"EJIDO CUCAPAH INDIGENA",4,1,
122,EMBARCACION,2014,"BAJA CALIFORNIA",MEXICALI,"EJIDO CUCAPAH INDIGENA",0,0,
123,HIELERA,2014,"BAJA CALIFORNIA",MEXICALI,"EJIDO CUCAPAH INDIGENA",0,0,
124,SISTEMA,2014,"BAJA CALIFORNIA",MEXICALI,"EJIDO CUCAPAH INDIGENA",0,0,
125,MOTOR,2014,"BAJA CALIFORNIA",MEXICALI,MEXICALI,20,15,
126,EMBARCACION,2014,"BAJA CALIFORNIA",MEXICALI,MEXICALI,10,9,
127,HIELERA,2014,"BAJA CALIFORNIA",MEXICALI,MEXICALI,0,0,
128,SISTEMA,2014,"BAJA CALIFORNIA",MEXICALI,MEXICALI,0,0,
129,MOTOR,2014,"BAJA CALIFORNIA",MEXICALI,"SAN FELIPE",67,19,
130,EMBARCACION,2014,"BAJA CALIFORNIA",MEXICALI,"SAN FELIPE",78,17,
131,HIELERA,2014,"BAJA CALIFORNIA",MEXICALI,"SAN FELIPE",6,0,
132,SISTEMA,2014,"BAJA CALIFORNIA",MEXICALI,"SAN FELIPE",20,2,
