Localidades Rurales Amanzanadas que rebasan su Ageb,,,,,,,
,,,,,,,
Clave Entidad,Clave Municipio,Clave Localidad,Clave Ageb,Nombre Geográfico,,,
11,003,0991,022-7,San José de la Posta,,,
11,004,0014,006-5,Cerro Prieto,,,
11,006,0010,001-7,El Durazno,,,
11,007,0078,001-4,Los Aguirre,,,
11,007,0091,031-5,La Cruz,,,
11,007,0155,002-9,San Isidro de Elguera,,,
11,007,0166,001-4,San Nicolás Esquiros,,,
11,007,0245,003-3,La Trinidad,,,
11,007,0589,003-3,Fraccionamiento San Lorenzo,,,
11,007,0704,007-1,Villas de Elguera [Fraccionamiento],,,
11,008,0035,003-0,Charco Prieto,,,
11,008,0232,003-0,Santa María de Bolaños,,,
11,008,0312,007-9,Rancho Nuevo de Cerritos,,,
11,009,0012,027-3,Guadalupe (San Antonio de Guadalupe),,,
11,009,0026,003-8,Nopalera,,,
11,009,0029,003-8,Orduña de Abajo,,,
11,009,0042,008-0,San Jerónimo,,,
11,010,0004,001-A,El Capulín,,,
11,010,0011,001-A,Piedra Larga,,,
11,010,0027,001-A,El Espinazo (Loma Bonita),,,
11,011,0017,001-7,Valencia de Fuentes,,,
11,012,0038,002-9,Fraccionamiento California,,,
11,012,0054,002-9,Ejido Luz Mazas,,,
11,013,0032,003-0,Morisquillas,,,
11,013,0038,001-1,Las Palmitas,,,
11,013,0055,003-0,San Agustín,,,
11,014,0125,017-A,Jamaica (San Miguel de Jamaica),,,
11,014,0674,001-9,Carboneras,,,
11,014,0729,021-6,La Luz,,,
11,014,0809,005-7,Carretera a Guanajuato Kilómetro Uno (El Panteón),,,
11,014,0813,014-6,San Diego del Llanito,,,
11,014,0873,005-7,San Nicolás de la Presa,,,
11,014,0880,005-7,Colonia el Cedro,,,
11,015,0026,026-6,Cajones,,,
11,015,0104,027-0,San José del Rodeo,,,
11,015,0261,025-1,Cerrito Frío,,,
11,016,0015,001-3,Ojos de Agua,,,
11,016,0017,003-2,Paso de Carretas,,,
11,017,0124,029-4,Ejido del Refugio (Los López),,,
11,017,0154,005-9,San Juan Temascatío,,,
11,017,0201,029-4,San Francisco de la Charca (El Nido),,,
11,017,0547,031-1,El Capulín de Yóstiro,,,
11,017,0844,006-3,Las Presitas,,,
11,018,0011,001-8,Los Llanitos (El Ranchito),,,
11,019,0029,002-A,El Fresno,,,
11,019,0053,005-3,Ojo de Agua de Mendoza,,,
11,019,0073,003-4,El Rosario,,,
11,019,0081,006-8,San Antonio de la Presa (El Fresno),,,
11,019,0084,002-A,San Ignacio (San Ignacio Mártir),,,
11,020,0267,094-2,Los Arcos,,,
11,020,0340,004-A,Ibarrilla,,,
11,020,0365,093-8,Malagana (San Antonio del Monte),,,
11,020,0409,008-8,Puerta del Cerro,,,
11,020,0410,008-8,Puerta de San Germán (Morelos),,,
11,020,0412,008-8,El Ramillete,,,
11,020,0424,094-2,San José del Resplandor (El Capricho),,,
11,020,0439,095-7,San Isidro de los Sauces,,,
11,020,0529,094-2,Estación Trinidad,,,
11,020,0682,095-7,Los Olivos (El Nuevo Paraíso),,,
11,020,0885,006-9,La Esperanza de Alfaro,,,
11,020,0906,095-7,Lomas del Suspiro,,,
11,020,0990,095-7,Campo Verde,,,
11,020,1112,095-7,Colonia Maravillas,,,
11,020,1131,095-7,Fraccionamiento Primavera,,,
11,020,1222,093-8,San Isidro de las Colonias,,,
11,020,1384,096-1,Fraccionamiento Campestre Lomas del Sur,,,
11,021,0014,001-3,Las Peñas,,,
11,021,0021,001-3,La Soledad,,,
11,022,0040,006-3,Jesús María,,,
11,022,0048,002-5,El Mezquite,,,
11,022,0083,007-8,La Tinaja,,,
11,022,0239,008-2,Fraccionamiento San Elías,,,
11,022,0244,011-4,San José del Carmen Sur,,,
11,023,0113,015-A,La Gavilana,,,
11,023,0125,001-8,Guayabo de Ruiz,,,
11,023,0300,005-6,La Sarna,,,
11,023,0333,013-0,Viborillas de Suárez,,,
11,023,0399,005-6,Tarengo de Parras,,,
11,023,0492,015-A,Miravalle (La Libertad),,,
11,025,0030,004-6,San Andrés (San Andrés de Jalpa),,,
11,026,0015,003-9,El Escoplo,,,
11,026,0034,006-2,Monte de Hoyos,,,
11,026,0424,003-9,El Tejamanil,,,
11,026,0446,003-9,Fraccionamiento Campestre Lomas del Sur,,,
11,027,0035,026-7,Buenavista de Valtierra,,,
11,027,0055,004-0,Cruces,,,
11,027,0059,048-3,El Divisador,,,
11,027,0114,024-8,Godoy,,,
11,027,0136,006-A,San Juan de Razos,,,
11,027,0143,024-8,Santa Catarina de Peña,,,
11,027,0151,028-6,Sotelo,,,
11,027,0155,005-5,El Terrero,,,
11,028,0137,009-0,La Lomita de San José del Carmen,,,
11,028,0140,008-6,El Marquesado,,,
11,029,0024,006-4,El Colorado,,,
11,029,0069,009-8,Pozo Ademado,,,
11,029,0076,006-4,Puerta de Marcial (San Isidro de la Cruz),,,
11,029,0083,007-9,Ranchito de los Hernández,,,
11,029,0134,009-8,Zacatequillas,,,
11,029,0155,009-8,Ex-Hacienda Noria de Alday,,,
11,030,0023,024-3,San José de los Barcos,,,
11,030,0071,014-A,Chirimoya (Estación Chirimoya),,,
11,030,0219,023-9,San Isidro de Capellanía,,,
11,030,0289,004-6,Miguel Hidalgo (Cueritos),,,
11,030,0765,013-5,Ejido Hernández Álvarez,,,
11,030,0787,025-8,El Vergel y Anexos,,,
11,031,0006,001-A,Arroyo Seco,,,
11,031,0014,008-1,El Desagüe,,,
11,031,0028,008-1,El Lindero (El Lindero Viejo),,,
11,031,0032,001-A,El Maguey,,,
11,031,0049,008-1,Plan Libertador (El Quemado),,,
11,031,0058,010-9,San Antonio de Funes,,,
11,031,0065,009-6,San Ignacio de Hidalgo,,,
11,031,0066,010-9,San Isidro de los Palominos,,,
11,031,0090,008-1,Fraccionamiento Pedregal de San Juan,,,
11,031,0293,001-A,Cañada de Soto,,,
11,032,0032,002-1,La Escondida,,,
11,032,0045,001-7,El Huizache de Galomo,,,
11,032,0061,007-4,Ojo de Agua del Refugio,,,
11,032,0064,002-1,La Palmita del Cinco de Mayo,,,
11,032,0080,005-5,Rancho Nuevo,,,
11,032,0152,004-0,Fátima,,,
11,033,0129,018-A,Nuevo Paso de Vaqueros,,,
11,033,0141,011-8,Los Pirules,,,
11,033,0209,022-6,Ex-Hacienda de Santa Ana (Santa Ana y Lobos),,,
11,033,0529,011-8,San Pedro,,,
11,034,0021,002-6,Ortega,,,
11,035,0008,003-8,El Carmen de Arriba,,,
11,035,0014,003-8,Emiliano Zapata,,,
11,035,0027,004-2,Jaralillo,,,
11,035,0035,008-0,San Antonio de Morales,,,
11,035,0041,003-8,Ojo de Agua de Otates,,,
11,035,0062,003-8,San José de las Pilas,,,
11,035,0080,002-3,La Tinaja,,,
11,037,0089,002-8,El Refugio de los Sauces,,,
11,037,0134,003-2,Vallejos,,,
11,037,0227,001-3,Mangas de la Estancia,,,
11,037,0652,002-8,Lomas del Sur,,,
11,037,0664,012-1,La Deportiva,,,
11,039,0020,002-2,Llano Grande,,,
11,039,0026,001-8,Panales Jamaica (Cañones),,,
11,040,0063,002-3,Villa Unión,,,
11,041,0015,005-4,Lagunilla del Encinal,,,
11,041,0061,005-4,Bugambilia,,,
11,042,0007,008-5,El Borrego,,,
11,042,0010,010-2,Cahuageo,,,
11,042,0020,003-2,La Compañía,,,
11,042,0069,010-2,Potrerillo de Torres,,,
11,042,0074,010-2,Puerta de Andaracua,,,
11,042,0083,010-2,Rancho Viejo de Torres,,,
11,042,0108,003-2,San José de Araceo,,,
11,042,0113,002-8,San Manuel Quiriceo,,,
11,042,0115,009-A,San Nicolás Parangueo,,,
11,042,0117,003-2,Santa Ana,,,
11,042,0162,009-A,Ranchito de Paredones,,,
11,042,0190,010-2,Puerto de Araceo,,,
11,042,0225,002-8,Crucero de Mogotes,,,
11,042,0239,003-2,Santiago Apóstol,,,
11,042,0241,003-2,El Cerrito Colorado,,,
11,042,0248,001-3,Estancia de San Diego,,,
11,042,0325,010-2,Valle Esmeralda [Residencial],,,
11,042,0337,003-2,Colonia Santiago UCOC,,,
11,043,0007,002-5,Álamos de Martínez,,,
11,043,0076,009-7,Salitrera,,,
11,043,0084,009-7,Tasajillo,,,
11,044,0095,001-8,Rivera del Río,,,
11,044,0206,003-7,El Tajo del Parral (Tenería de Valdez),,,
11,045,0011,006-8,San Miguel de las Casitas,,,
11,045,0029,006-8,Puerto de Milagro,,,
11,046,0003,003-1,La Angostura,,,
11,046,0036,012-0,El Moral,,,
11,046,0063,012-0,Colonia San Antonio,,,
11,046,0078,002-7,San Vicente Ciénega,,,
11,046,0127,012-0,La Cruz del Niño,,,
12,001,0129,197-3,Los Órganos de San Agustín (El Quemado),,,
12,001,0153,199-2,San Isidro Gallinero (El Gallinero),,,
12,001,0242,204-5,Bella Vista Papagayo,,,
12,001,0695,199-2,El Progreso de Cacahuatepec,,,
12,002,0014,017-3,Rincón de Cozahuapa,,,
12,003,0024,033-A,Ixcapuzalco,,,
12,003,0033,033-A,Nanche Colorado (El Nanche),,,
12,003,0038,030-6,San Antonio de los Libres,,,
12,003,0042,032-5,San Jerónimo el Grande,,,
12,004,0014,012-5,Petlacalancingo,,,
12,004,0016,013-A,San Miguel el Grande,,,
12,007,0104,018-4,El Varal (El Brinco),,,
12,007,0111,020-1,La Concordia,,,
12,008,0014,013-9,Tuzantlán,,,
12,010,0108,013-7,Vicente Guerrero,,,
12,011,0056,025-7,La Remonta (La Remonta Grande),,,
12,011,0089,031-2,Junta de los Ríos (Las Juntas),,,
12,011,0147,032-7,Colonia Vicente Guerrero,,,
12,013,0049,014-3,Quetzalapa,,,
12,014,0010,008-5,Llano de la Puerta,,,
12,017,0011,009-1,El Machito de las Flores,,,
12,017,0014,008-7,El Municipio (Tijuanita),,,
12,018,0023,006-5,Las Peñas,,,
12,021,0027,038-0,El Espinalillo,,,
12,021,0035,040-8,Los Mogotes,,,
12,024,0014,015-1,Cuescomapa,,,
12,025,0011,019-7,Jalapa,,,
12,025,0012,019-7,El Líbano,,,
12,026,0013,009-0,San Luis,,,
12,027,0073,048-8,El Remudadero,,,
12,028,0168,028-8,El Pinoral,,,
12,029,0030,090-4,Carrizal de la Vía,,,
12,032,0042,035-0,Izotepec,,,
12,032,0057,035-0,Ojo de Agua (Ojo de Agua del Progreso),,,
12,032,0075,035-0,Puerto Gallo [Campamento],,,
12,034,0007,022-8,Atetetla,,,
12,035,0002,059-8,Ahuehuepan,,,
12,035,0003,063-4,Colonia Álvaro Obregón,,,
12,035,0015,061-5,Platanillo,,,
12,035,0017,062-A,Rancho del Cura,,,
12,036,0012,007-8,La Victoria,,,
12,036,0019,008-2,El Capulín,,,
12,040,0007,023-A,Corral de Piedra,,,
12,042,0006,021-5,La Esperanza,,,
12,042,0017,022-A,Xicomulco,,,
12,043,0015,029-9,Juanacatlán,,,
12,045,0029,029-3,Las Juntas,,,
12,048,0068,063-2,Coyuquilla Norte,,,
12,048,0220,060-9,Barra de Potosí,,,
12,048,0645,063-2,Arroyo Verde,,,
12,049,0016,016-5,Santa Teresa,,,
12,050,0011,019-A,Placeritos,,,
12,051,0010,022-9,Huehuecoyotla,,,
12,052,0096,038-7,Mixtecapa,,,
12,052,0107,038-7,Cruz Alta,,,
12,054,0113,029-2,El Remance,,,
12,055,0040,037-4,San Miguel Guerrero (San Miguel),,,
12,055,0050,033-6,Teacalco,,,
12,055,0054,041-0,Temaxcalapa,,,
12,058,0036,040-8,Cruz Blanca,,,
12,058,0115,039-5,Yerbabuena,,,
12,059,0017,026-5,San Vicente Palapa,,,
12,060,0037,017-7,Tepacoya,,,
12,061,0019,021-0,Zoquiapa,,,
12,062,0008,023-7,Jicayán de Tovar,,,
12,062,0009,022-2,El Limón Guadalupe,,,
12,062,0065,024-1,San José,,,
12,064,0009,026-5,La Montaña,,,
12,064,0018,026-5,El Tamarindo del Río,,,
12,066,0003,025-5,Alpoyecancingo,,,
12,066,0028,025-5,Tototepec (Yozononi),,,
12,066,0030,025-5,Xalatzala,,,
12,067,0009,020-A,Hacienda Nueva,,,
12,070,0005,022-4,Tehuaxtitlán,,,
12,070,0006,019-2,Xihuitlipa,,,
12,072,0005,027-1,Ayotoxtla,,,
12,072,0120,027-1,Villa de Guadalupe,,,
12,073,0007,044-2,Alita,,,
12,073,0105,050-8,Pandacuareo,,,
12,073,0113,043-8,La Parota,,,
12,073,0136,044-2,La Quiringucua,,,
12,074,0017,023-8,Topiltepec,,,
12,075,0002,035-8,Ahuelicán,,,
12,076,0006,002-0,Apetzuca,,,
12,076,0010,002-0,Barranca Pobre,,,
12,076,0041,002-0,Xilotlancingo,,,
12,076,0043,002-0,Zontecomapa,,,
12,076,0046,002-0,Agua Fría,,,
12,076,0060,002-0,Barranca Mina,,,
12,077,0007,009-A,La Ceniza (Loma de Romero),,,
12,081,0041,002-0,13 de Septiembre,,,
13,001,0002,003-9,Agustín Olvera [Colonia],,,
13,001,0004,003-9,Almoloya,,,
13,001,0005,003-9,Los Arcos,,,
13,001,0007,001-A,Buena Vista,,,
13,001,0008,003-9,Chauténco [Colonia],,,
13,001,0015,002-4,Metepec Primero,,,
13,001,0016,002-4,El Milagro San Simón,,,
13,001,0017,003-9,Mixquiapan,,,
13,001,0019,001-A,San Antonio la Palma,,,
13,001,0023,002-4,Totoapa el Grande,,,
13,001,0028,001-A,El Veladero,,,
13,001,0030,002-4,Las Palmas,,,
13,001,0031,002-4,Metepec Segundo,,,
13,001,0032,001-A,Barrio el Yolo,,,
13,001,0036,003-9,Lagunicatlán,,,
13,002,0003,004-0,La Bóveda,,,
13,002,0005,004-0,La Mesa,,,
13,002,0012,001-7,San Pedro Tlachichilco,,,
13,002,0018,004-0,Tlaltegco (Venta Quemada),,,
13,002,0021,001-7,Tlamimilolpa,,,
13,002,0027,001-7,Canales,,,
13,002,0069,001-7,Otontepec,,,
13,002,0071,004-0,El Canal,,,
13,003,0004,002-9,Boxaxni,,,
13,003,0007,002-9,Cañada Chica Antigua,,,
13,003,0011,002-9,Dajiedhi,,,
13,003,0012,002-9,El Daxtha,,,
13,003,0015,009-0,La Loma,,,
13,003,0019,009-0,El Palomo,,,
13,003,0020,003-3,La Peña,,,
13,003,0026,002-9,Xideje,,,
13,003,0044,009-0,Cuarta Manzana Chicavasco (La Ladera Chicavasco),,,
13,003,0052,003-3,El Porvenir,,,
13,004,0002,002-6,Ejido de Agua Blanca (Cerro Alto),,,
13,004,0005,001-1,Calabazas Segunda Sección,,,
13,004,0008,002-6,Chichicaxtle,,,
13,004,0012,002-6,Milpa Vieja (Apulco),,,
13,004,0013,001-1,El Palizar,,,
13,004,0014,001-1,Ejido de Loma Ancha,,,
13,006,0006,004-A,Cebolletas,,,
13,006,0007,004-A,Cerro Azul,,,
13,006,0014,001-6,La Huapilla,,,
13,006,0028,002-0,San Agustín Tlalixticapa,,,
13,006,0030,001-6,San Antonio Tezoquipan,,,
13,006,0031,002-0,San Francisco Sacachichilco,,,
13,006,0033,004-A,San Pablo Oxtotipan,,,
13,006,0037,002-0,La Vega,,,
13,006,0040,004-A,Xothé,,,
13,008,0051,002-5,Lomas del Pedregal,,,
13,009,0003,001-8,Chimilpa,,,
13,009,0004,001-8,Fray Francisco,,,
13,009,0005,001-8,El Jiadi,,,
13,009,0006,001-8,El Meje,,,
13,009,0008,001-8,El Rincón,,,
13,010,0007,033-9,Tlalminulpa,,,
13,011,0029,004-A,San Isidro,,,
13,012,0006,006-6,La Cruz (Barrio de la Cruz),,,
13,012,0011,006-6,Montecillos,,,
13,012,0015,003-2,Paso de Amajac,,,
13,012,0022,001-3,Los Sabinos,,,
13,012,0037,006-6,Tezahuapa,,,
13,012,0038,006-6,Agua Limpia,,,
13,012,0071,006-6,Cumbre de Santa Catarina,,,
13,013,0002,004-4,San José Acoculco,,,
13,013,0007,004-4,Coayuca,,,
13,013,0009,004-4,El Pedregal,,,
13,013,0018,004-4,Praderas del Potrero,,,
13,013,0029,004-4,Paseos de la Pradera,,,
13,014,0014,003-7,Santa Lucía (Mesa de Santa Lucía),,,
13,014,0020,001-8,Tula,,,
13,015,0004,001-5,El Bingú,,,
13,015,0006,001-5,El Boxo,,,
13,015,0018,002-A,El Potrero,,,
13,015,0021,005-3,San Antonio Sabanillas,,,
13,015,0022,001-5,San Clemente,,,
13,015,0025,001-5,San Miguel Jigui,,,
13,015,0039,005-3,Barrio Quixpedhe,,,
13,015,0040,005-3,Los Peña,,,
13,015,0060,002-A,El Bondho,,,
13,015,0115,001-5,Palacios,,,
13,016,0010,002-7,Chacalapa,,,
13,016,0024,002-7,Las Puentes,,,
13,016,0035,020-5,Tezoquipa,,,
13,017,0012,003-9,San José el Marqués (Escandón),,,
13,017,0013,003-9,Nueva Santa Lucía,,,
13,017,0015,002-4,San Juan el Sabino,,,
13,017,0022,002-4,Zimapantongo,,,
13,017,0040,003-9,Colonia Félix Olvera,,,
13,018,0004,001-7,Arroyo Blanco,,,
13,018,0017,002-1,Huatepango,,,
13,019,0004,001-4,El Dadhó,,,
13,019,0015,002-9,Tunititlán,,,
13,019,0016,001-4,El Xothí,,,
13,022,0004,001-A,El Guajolote,,,
13,022,0010,001-A,El Nopalillo,,,
13,022,0019,002-4,San Miguel Nopalapa,,,
13,022,0037,001-A,San José Chavarría,,,
13,022,0091,002-4,Xochihuacán [Fraccionamiento],,,
13,022,0092,001-A,El Rialejo,,,
13,023,0005,001-7,Dengantzha,,,
13,023,0006,001-7,Doctor José G. Parres,,,
13,024,0002,002-9,Aguacatitla (El Campamento),,,
13,024,0025,001-4,San José Ocotillos,,,
13,024,0034,004-8,Santo Domingo Agua Zarca,,,
13,024,0035,001-4,Santo Tomás Allende,,,
13,024,0036,004-8,San Lorenzo el Zembo (El Zembo),,,
13,024,0042,004-8,Cacaloapan (San Miguel Cacaloapan),,,
13,024,0068,001-4,San Pablo Ojo de Agua,,,
13,025,0025,002-6,Ixtlahuac,,,
13,025,0028,004-5,La Mesa,,,
13,025,0040,001-1,Tecoluco Calpan,,,
13,025,0060,001-1,La Puerta,,,
13,026,0013,001-9,Chiatipán,,,
13,026,0039,001-9,Tlamamala,,,
13,026,0041,001-9,La Ceiba,,,
13,027,0020,002-0,Juntas Chicas,,,
13,027,0022,003-5,Loma de Buenavista,,,
13,027,0033,002-0,San Ambrosio,,,
13,027,0050,002-0,Río Beltrán,,,
13,028,0007,004-7,Acuatempa,,,
13,028,0027,005-1,Coco Grande,,,
13,028,0028,001-3,Cochiscuatitla,,,
13,028,0030,004-7,Contépec,,,
13,028,0031,001-3,La Corrala,,,
13,028,0035,001-3,Cruztitla,,,
13,028,0050,001-3,Los Horcones,,,
13,028,0061,004-7,Macuxtepetla,,,
13,028,0062,004-7,Machetla,,,
13,028,0075,004-7,Poxtla Coacuilco,,,
13,028,0118,001-3,Los Parajes Benito Juárez,,,
13,028,0133,004-7,Zacapetlayo,,,
13,028,0220,005-1,Charco Azul,,,
13,028,0266,004-7,Renacimiento Tlalpani,,,
13,028,0268,005-1,Aquixcuatitla II,,,
13,029,0005,003-A,Boye,,,
13,029,0007,006-3,El Carmen,,,
13,029,0011,001-0,Dantzibojay,,,
13,030,0002,004-5,El Alberto,,,
13,030,0003,003-0,Arenalito,,,
13,030,0011,001-1,Cuesta Colorada,,,
13,030,0015,002-6,El Dextho,,,
13,030,0016,005-A,Dios Padre,,,
13,030,0019,003-0,La Estación,,,
13,030,0031,003-0,Nequeteje,,,
13,030,0032,002-6,El Nith,,,
13,030,0046,005-A,El Tablón,,,
13,030,0050,005-A,Cañada Chica,,,
13,030,0063,003-0,Quixpedhe,,,
13,030,0075,004-5,El Deca,,,
13,030,0096,005-A,Ex-Hacienda de Ocotza,,,
13,030,0097,002-6,General Felipe Ángeles [Colonia],,,
13,030,0100,003-0,Ex-Hacienda Debodhe,,,
13,030,0113,003-0,La Huerta Capula,,,
13,030,0144,005-A,Puerto Bangandhó,,,
13,030,0146,003-0,Colonia del Valle Remedios,,,
13,031,0011,001-9,Los Duraznos,,,
13,031,0020,005-7,Minas Viejas,,,
13,034,0032,001-0,Xalcuatla,,,
13,034,0033,001-0,Xuchipantla,,,
13,035,0002,002-2,El Acocul,,,
13,035,0005,001-8,Cañada de Flores,,,
13,035,0006,001-8,El Casco,,,
13,035,0007,002-2,Acocul Cebolletas,,,
13,035,0014,002-2,Palo Gordo (Ejido Nopalillo),,,
13,035,0022,002-2,Tortugas,,,
13,035,0026,001-8,Palo Gacho,,,
13,035,0028,001-8,El Sabino,,,
13,035,0031,001-8,Colonia Nueva Ex-Hacienda de Apulco,,,
13,035,0041,001-8,Ex-Hacienda de Apulco Parte Alta,,,
13,035,0042,002-2,El Sabino Parte Alta,,,
13,036,0015,001-5,Tuzanapa,,,
13,036,0019,001-5,Yerbabuena,,,
13,036,0020,001-5,Zahuastipán,,,
13,036,0028,001-5,El Enzuelado,,,
13,036,0030,003-4,Llano de las Palmas,,,
13,037,0018,004-6,Huistícola,,,
13,037,0032,009-9,El Pirú Tepozotlán (El Pirú),,,
13,037,0044,011-6,Santa Mónica Autempa,,,
13,037,0069,002-7,San Antonio Tlaxco,,,
13,037,0084,002-7,Atzingo,,,
13,038,0013,002-4,Pie de la Viga,,,
13,038,0018,001-A,San José Capulines,,,
13,038,0024,001-A,Benito Juárez,,,
13,039,0003,001-7,Ciénega Larga,,,
13,041,0007,001-5,Morelos (El Nueve) [Colonia],,,
13,041,0011,011-9,Tepeitic,,,
13,041,0035,002-A,3 de Mayo [Colonia],,,
13,042,0006,002-7,Coachula,,,
13,042,0007,001-2,Cuxhuacan,,,
13,042,0012,002-7,Malila,,,
13,042,0020,001-2,Tenango,,,
13,042,0026,002-7,Molocotlán,,,
13,043,0004,004-3,Bocua,,,
13,043,0013,003-9,La Laguna,,,
13,043,0040,003-9,Castadho,,,
13,044,0005,001-7,El Fresno (Casas Viejas),,,
13,044,0008,001-7,Cuaxithi,,,
13,044,0013,003-6,El Jagüey,,,
13,044,0030,001-7,San Sebastián Tenochtitlán,,,
13,044,0033,003-6,San Sebastián de Juárez,,,
13,044,0077,002-1,Puerto Dañu,,,
13,045,0002,001-4,Agua Fría,,,
13,045,0012,001-4,Vicente Guerrero,,,
13,045,0019,001-4,Puentecillas,,,
13,045,0023,001-4,Santa Elena,,,
13,045,0029,001-4,Venta de Guadalupe,,,
13,045,0035,001-4,El Crucero (Crucero de Huasca),,,
13,045,0043,001-4,Los Tapancos,,,
13,046,0015,001-1,El Cerro,,,
13,046,0016,003-0,Cuamecaco,,,
13,046,0025,004-5,Huichintla,,,
13,046,0031,003-0,La Laja,,,
13,046,0037,001-1,Nexpa,,,
13,046,0062,004-5,Texcatla,,,
13,046,0097,003-0,Zapote Abajo,,,
13,046,0099,003-0,El Carrizal,,,
13,046,0103,004-5,Santa Rosa Tetlama,,,
13,047,0003,003-8,El Aguacatito,,,
13,047,0019,002-3,Rancho Nuevo,,,
13,048,0217,002-0,Barrio del Judío,,,
13,049,0027,002-8,El Limoncito,,,
13,049,0047,002-8,Plan de Ayala,,,
13,050,0010,001-4,El Jardín,,,
13,051,0017,057-7,El Venado,,,
13,051,0151,057-7,Hacienda Margarita,,,
13,051,0152,057-7,Praderas de Virreyes,,,
13,051,0154,057-7,Lomas de Nopalapa [Privada],,,
13,052,0002,001-9,Benito Juárez,,,
13,052,0005,008-0,Chapultepec de Pozos,,,
13,052,0010,001-9,San Isidro Llano Largo,,,
13,052,0020,002-3,San Miguel Tornacuxtla,,,
13,052,0023,008-0,Guadalupe los Manantiales [Colonia],,,
13,052,0037,002-3,Palos Blancos,,,
13,052,0041,002-3,Santa María,,,
13,052,0052,003-8,Nueva Tlaxiaca,,,
13,052,0070,002-3,La Loma,,,
13,052,0077,002-3,Paseo de los Solares,,,
13,053,0009,004-A,Calintla,,,
13,054,0002,001-3,Bocaja,,,
13,054,0004,001-3,El Bondho,,,
13,054,0013,001-3,Lagunilla,,,
13,054,0017,011-7,Poxindeje de Morelos,,,
13,054,0024,012-1,Tothie (Tothie de Rojo Gómez),,,
13,054,0027,012-1,Leandro Valle,,,
13,054,0036,005-1,Chichimecas,,,
13,054,0039,005-1,El Mothé,,,
13,054,0040,005-1,Xuchitlán,,,
13,054,0054,012-1,Pacheco Leandro Valle,,,
13,055,0004,001-0,Cerritos,,,
13,055,0009,002-5,Hermosillo Monte Noble,,,
13,055,0013,004-4,Patria Nueva,,,
13,055,0014,005-9,Santa Mónica,,,
13,055,0016,005-9,Xitzo,,,
13,055,0017,004-4,Yolotepec,,,
13,055,0018,005-9,Zaragoza,,,
13,055,0021,004-4,Ejido del Mezquital,,,
13,056,0003,015-A,Las Lajas,,,
13,056,0004,015-A,Los Romeros,,,
13,056,0007,015-A,Tilhuacán,,,
13,056,0008,015-A,Ventoquipa,,,
13,056,0016,015-A,Paxtepec,,,
13,056,0035,014-5,Emiliano Zapata,,,
13,057,0007,002-A,La Comunidad,,,
13,057,0021,004-9,Santa Ana Chichicuautla,,,
13,057,0022,002-A,Segundas Lajas,,,
13,057,0024,002-A,El Susto,,,
13,057,0026,002-A,El Cebadal,,,
13,057,0060,001-5,Las Palomas,,,
13,057,0176,001-5,Arboledas,,,
13,057,0181,002-A,La Rosa,,,
13,058,0009,003-1,Danghu,,,
13,058,0017,003-1,Portezuelo,,,
13,058,0024,003-1,Santiago Ixtlahuaca,,,
13,059,0019,007-7,La Mesilla,,,
13,059,0020,005-8,Ninthí,,,
13,059,0028,005-8,El Salto,,,
13,059,0033,002-4,San Miguel Caltepantla,,,
13,059,0059,007-7,Joñhé,,,
13,059,0076,001-A,Pared Blanca,,,
13,059,0086,007-7,El Crucero,,,
13,060,0009,002-5,La Cruz de Tenango,,,
13,060,0026,002-5,Peña Blanca,,,
13,060,0034,001-0,San Nicolás,,,
13,061,0009,001-8,Palo Hueco,,,
13,061,0029,003-7,20 de Noviembre [Colonia],,,
13,063,0002,001-2,El Banco (El Banco Vega de Madero),,,
13,063,0005,004-6,La Loma,,,
13,063,0008,001-2,Ojo de Agua,,,
13,063,0015,001-2,Santa María Magdalena,,,
13,063,0018,002-7,Santiago Tlautla,,,
13,063,0025,003-1,Benito Juárez,,,
13,064,0014,002-4,El Retiro,,,
13,065,0002,001-7,Juandhó,,,
13,066,0011,001-4,El Tejocote,,,
13,066,0018,001-4,Guadalupe [Colonia],,,
13,067,0004,001-1,Santa María Batha,,,
13,067,0012,001-1,Tenango,,,
13,067,0049,003-0,Colonia Lázaro Cárdenas,,,
13,071,0006,001-4,Boca de León,,,
13,071,0006,001-4,Boca de León,,,
13,071,0038,007-1,El Palmar,,,
13,073,0027,002-3,Peyula,,,
13,074,0004,001-6,Teocalco,,,
13,075,0009,001-3,Las Pintas (El Porvenir),,,
13,076,0004,001-0,Xiteje de Zapata,,,
13,076,0018,002-5,San Francisco Bojay Pueblo,,,
13,076,0021,006-3,San Lucas Teacalco,,,
13,076,0029,002-5,Teocalco,,,
13,076,0061,006-3,Nueva Santa María [Colonia],,,
13,076,0087,006-3,Cerrito del Tepeyac,,,
13,076,0101,004-4,El Crestón,,,
13,077,0002,014-5,Acocul la Palma,,,
13,077,0005,014-5,Axatempa,,,
13,077,0012,016-4,La Lagunilla,,,
13,077,0022,018-3,Tepalzingo,,,
13,077,0055,014-5,Napateco,,,
13,077,0064,016-4,Ejido Mimila,,,
13,077,0071,016-4,Pedregal de San Francisco,,,
13,077,0105,020-0,2 de Agosto [Colonia],,,
13,077,0113,016-4,Tollancingo,,,
13,078,0027,001-5,Xilico,,,
13,080,0029,001-3,Crisolco,,,
13,080,0030,002-8,Huexoapa,,,
13,081,0003,005-9,Atopixco,,,
13,081,0005,001-0,La Cumbre de Alumbres,,,
13,083,0015,002-A,San Agustín Zapotlán,,,
