Localidades Rurales Amanzanadas que rebasan su Ageb,,,,,,,
,,,,,,,
Clave Entidad,Clave Municipio,Clave Localidad,Clave Ageb,Nombre Geográfico,,,
05,009,0050,044-1,Santa María (Santa María de Arriba),,,
05,009,0053,045-6,Seis de Octubre (Santo Niño),,,
05,009,0091,042-2,La Nueva Trinidad,,,
05,010,0002,010-3,La Cruz,,,
05,010,0176,010-3,Colonia Diana Laura Riojas de Colosio,,,
05,010,0222,041-9,San Antonio (Nuevo Paraíso),,,
05,011,0027,044-A,Presa de Guadalupe (Guadalupe),,,
05,011,0038,033-1,Marte (Estación Marte),,,
05,012,0021,034-3,Guadalupe,,,
05,014,0016,042-2,La Potasa,,,
05,014,0022,042-2,Santa María,,,
05,015,0003,037-9,Don Martín,,,
05,017,0010,031-6,Compuertas,,,
05,017,0029,007-2,Maravillas,,,
05,017,0068,033-5,Corona,,,
05,017,0072,012-3,Las Palomas,,,
05,017,0149,007-2,Rancho de Afuera,,,
05,017,0160,035-4,Corea,,,
05,017,0206,035-4,Congregación Sacrificio (El Dólar),,,
05,017,0303,067-4,El Pacífico,,,
05,020,0439,095-1,Nogalitos,,,
05,021,0002,019-8,Villa de Bucareli (La Villita),,,
05,021,0006,019-8,San Isidro (El Coyote),,,
05,021,0009,017-9,Nuevo Poblado de Sardinas,,,
05,023,0032,281-8,Las Eutimias,,,
05,024,0014,140-8,La Candelaria,,,
05,024,0058,194-4,Notillas,,,
05,024,0060,145-0,Paila,,,
05,024,0076,140-8,La Requena (La Requena de Fátima),,,
05,024,0083,158-8,San Francisco del Progreso,,,
05,024,0086,140-8,El Progreso (San Isidro del Progreso),,,
05,024,0089,194-4,San José de la Unión,,,
05,024,0102,152-0,Santa Isabel y Santa Rita,,,
05,024,0161,140-8,Providencia (Maravillas Uno),,,
05,024,0248,152-0,Las Gordas (Las Conchas),,,
05,026,0006,012-2,San Alberto,,,
05,026,0079,011-8,Mexiquito,,,
05,027,0048,097-1,La Leona,,,
05,027,0079,119-A,Rancho Nuevo,,,
05,027,0302,119-A,Zertuche,,,
05,030,0073,327-6,Agua Nueva,,,
05,030,0079,331-2,Astillero,,,
05,030,0114,324-2,El Derramadero,,,
05,030,0182,343-5,Punta Santa Elena,,,
05,030,0209,052-A,San José de la Joya,,,
05,030,0210,348-8,San José del Alamito,,,
05,030,0211,323-8,San José de los Cerritos,,,
05,030,0214,325-7,San Juan de la Vaquería,,,
05,030,0215,351-A,San Juan del Retiro,,,
05,033,0063,151-5,Reynosa,,,
05,033,0076,066-3,San Francisco de la Fe,,,
05,033,0084,156-8,San Miguel,,,
05,033,0095,155-3,Santa Eulalia,,,
05,033,0101,091-1,Santiago,,,
05,033,0107,086-0,Tacubaya,,,
05,033,0110,151-5,El Triángulo,,,
05,033,0363,086-0,Los Arenales,,,
05,035,0174,062-A,Nuevo Mieleras (La Tres),,,
05,035,0187,214-7,Ricardo Flores Magón,,,
05,035,0204,213-2,Providencia,,,
05,036,0025,042-A,Nuevo Margaritas,,,
05,036,0030,050-4,La Rosita,,,
05,036,0042,049-1,Tejabán del Esfuerzo (El Esfuerzo),,,
05,036,0043,051-9,Tierra y Libertad,,,
05,036,0061,050-4,La Siete (Laguna Seca),,,
05,038,0025,053-2,La Maroma,,,
06,002,0110,020-A,Ticuizitán,,,
06,005,0196,001-9,Loma Dorada,,,
06,006,0003,004-A,Agua de la Virgen,,,
06,007,0070,011-7,Punta de Agua de Camotlán,,,
06,007,0129,011-7,Francisco Villa,,,
06,009,0147,001-8,Tecolapa,,,
07,001,0038,004-8,El Tumbador,,,
07,001,0159,004-8,Quince de Septiembre,,,
07,002,0015,005-A,Nuevo Poblado Concepción,,,
07,002,0311,006-4,Central Campesina Cardenista,,,
07,002,0367,006-4,Carlos Salinas de Gortari,,,
07,003,0007,004-2,Barrio Nuevo,,,
07,003,0012,003-8,Consuelo Ulapa,,,
07,003,0024,006-1,Mariano Matamoros,,,
07,003,0068,003-8,Jiquilpan (Estación Bonanza),,,
07,003,0093,006-1,Las Lauras,,,
07,003,0434,006-1,Benito Juárez,,,
07,004,0032,005-4,La Laguna,,,
07,004,0047,004-A,Gabino Barrera (Pamala),,,
07,004,0147,010-5,Los Bambúes,,,
07,004,0167,005-4,El Nance,,,
07,004,0225,003-5,Morelia (Victórico Rodolfo Grajales),,,
07,006,0044,001-0,Potrerillo,,,
07,006,0098,003-A,Nueva Victoria,,,
07,007,0034,001-8,San Vicente la Piedra,,,
07,007,0052,004-1,Benito Juárez,,,
07,008,0025,003-4,Salvador Urbina,,,
07,009,0046,011-6,La Gloria,,,
07,009,0752,009-9,Eben Ezer,,,
07,010,0004,001-3,El Cercadillo,,,
07,010,0012,001-3,Reforma,,,
