Localidades  Isla (Localidades ubicadas en un municipio y que administrativamente pertenecen a otro),,,,,,,,
,,,,,,,,
PERTENENCIA ADMINISTRATIVA,,,,,UBICACIÓN ESPACIAL,,,
CLAVE ENTIDAD,CLAVE MUNICIPIO,CLAVE LOCALIDAD,CLAVE AGEB,NOMBRE DE LOCALIDAD,CLAVE ENTIDAD,CLAVE MUNICIPIO,NOMBRE MUNICIPIO,
12,012,0166,017-A,El Parotillo,12,076,Acatepec,
12,012,0184,017-A,La Palma Nuevo Paraíso,12,076,Acatepec,
12,014,0098,008-5,Rancho Viejo,12,057,Técpan de Galeana,
12,015,0031,009-7,Los Sauces,12,034,Huitzuco de los Figueroa,
12,015,0046,009-7,Las Enramadas,12,034,Huitzuco de los Figueroa,
12,018,0068,006-5,La Loma del Chivo,12,025,Cuautepec,
12,019,0022,011-3,Ciruelo Amarillo,12,045,Olinalá,
12,019,0029,011-3,El Tamarindo,12,045,Olinalá,
12,019,0057,011-3,Zacualpa,12,045,Olinalá,
12,019,0074,009-6,El Establo,12,008,Atenango del Río,
12,019,0080,011-3,El Guaje (El Portezuelo),12,002,Ahuacuotzingo,
12,020,0058,008-2,Crucero de Santa Cruz,12,069,Xalpatláhuac,
12,021,0244,032-3,La Carbonera,12,001,Acapulco de Juárez,
12,021,0255,038-0,Santa Cruz de Mitla,12,014,Benito Juárez,
12,022,0063,071-0,Las Palancas,12,003,Ajuchitlán del Progreso,
12,022,0461,076-3,Barranca del Sereno,12,048,Petatlán,
12,022,0473,071-0,Los Bayados,12,003,Ajuchitlán del Progreso,
12,022,0571,050-9,La Lagunita,12,073,Zirándaro,
12,022,0602,071-0,Santa Clara (Santa Clara del Cobre),12,003,Ajuchitlán del Progreso,
12,022,0707,050-9,El Zarzal,12,038,Zihuatanejo de Azueta,
12,022,0713,076-3,Corralitos,12,048,Petatlán,
12,022,0716,076-3,La Patacua,12,048,Petatlán,
12,022,0717,076-3,El Soyamiche,12,048,Petatlán,
12,022,0732,076-3,La Fronterita,12,048,Petatlán,
12,023,0220,026-2,Rancho Mario Navarrete,12,013,Azoyú,
12,023,0275,029-6,La Haciendita,12,013,Azoyú,
12,024,0087,015-1,Rancho el Terrero,12,066,Tlapa de Comonfort,
12,024,0090,015-1,Tzicatlacotla,12,066,Tlapa de Comonfort,
12,025,0031,019-7,Estero del Marquez (Cachumbo),12,030,Florencio Villarreal,
12,025,0039,018-2,La Ceiba,12,018,Copala,
12,025,0049,017-8,Fábrica Vieja,12,012,Ayutla de los Libres,
12,025,0051,019-7,La Soledad,12,030,Florencio Villarreal,
12,028,0208,032-4,Buena Vista de las Pilas,12,079,José Joaquín de Herrera,
12,029,0030,090-4,Carrizal de la Vía,12,039,Juan R. Escudero,
12,029,0097,077-9,Colonia General Heliodoro Castillo (Chicahuales),12,032,General Heliodoro Castillo,
